"","id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"18",19550791,"Luxury 2 BR/ 2 Bathrooms Soho Loft",77386810,"Sarah","Manhattan","SoHo",40.72461,-73.99886,"Entire home/apt",450,30,6,2018-08-10,0.13,1,14
"19",24970711,"Budget Basement",188783370,"Faraz","Queens","Flushing",40.73833,-73.80764,"Private room",50,30,9,2018-08-10,0.26,1,0
"20",62468,"Great Apt, Great Location",304081,"Rodrigo","Manhattan","Upper West Side",40.79523,-73.9728,"Entire home/apt",170,30,30,2018-08-11,0.25,1,365
"21",305245,"BEAUTIFUL 2-BEDROOM TOWNHOUSE NYC",1556814,"Tammy","Manhattan","Harlem",40.80557,-73.94801,"Entire home/apt",350,30,9,2018-08-11,0.08,8,313
"22",8369701,"INTER HOUSE entire apt minim 16 day",43371802,"Sinaly","Brooklyn","Flatlands",40.62803,-73.92709,"Entire home/apt",426,16,5,2018-08-11,0.08,3,365
"23",9894602,"Large Room in Sunny Astoria Apt",10456845,"","Queens","Astoria",40.7592,-73.9247,"Private room",40,30,2,2018-08-11,0.03,2,0
"24",16418497,"Super Bright Creative Environment",53611405,"Tye","Brooklyn","Williamsburg",40.70538,-73.95068,"Private room",175,30,3,2018-08-11,0.06,1,180
"25",20788590,"Huge,cozy room with city view and bathroom",149014739,"Daniel","Queens","Woodside",40.75278,-73.90137,"Private room",76,30,15,2018-08-11,0.34,1,89
"26",20857108,"Perfect one bedroom in midtown Manhattan",120762452,"Stanley","Manhattan","Murray Hill",40.75038,-73.97599,"Entire home/apt",110,30,1,2018-08-11,0.03,83,358
"27",24985440,"ROOM IN QUEENS, CLOSE TO SUBWAY STATION",463061,"Lise","Queens","Woodhaven",40.69662,-73.85019,"Private room",60,30,5,2018-08-11,0.14,3,365
"28",25156280,"Lovely & Chic 2BR Astoria Row House",5637331,"Amit & Sofie","Queens","Astoria",40.76167,-73.90434,"Entire home/apt",118,30,1,2018-08-11,0.03,2,0
"29",25834425,"Gramercy Park Studio Loft",10387797,"Bramble","Manhattan","Gramercy",40.73818,-73.98375,"Entire home/apt",195,30,2,2018-08-11,0.06,1,0
"30",26188665,"Spacious private room on UWS near Central Park",27474188,"Janice","Manhattan","Upper West Side",40.79767,-73.97051,"Private room",79,30,6,2018-08-11,0.18,3,0
"31",26370425,"Amazing 1b1b in Luxury Building near Empire State",52529356,"Zhaoyun","Manhattan","Midtown",40.74664,-73.98323,"Entire home/apt",179,30,2,2018-08-11,0.06,1,0
"32",26476238,"Comfort, clean and close to everything.",157506473,"Al","Queens","Flushing",40.75804,-73.81857,"Private room",40,30,6,2018-08-11,0.18,1,0
"33",27064423,"New York Loft",1330116,"Robert","Manhattan","Greenwich Village",40.73188,-73.99146,"Private room",156,30,1,2018-08-11,0.03,1,0
"34",27110090,"Cozy room in a quiet and clean apartment",75385686,"Anna","Manhattan","Washington Heights",40.83808,-73.94486,"Private room",37,13,2,2018-08-11,0.06,1,0
"35",4447904,"Beautiful Upper West Side",23083111,"Michael","Manhattan","Upper West Side",40.77769,-73.98096,"Entire home/apt",80,30,5,2018-08-12,0.07,1,0
"36",4897673,"Room available for long term",14035846,"Monica","Queens","Sunnyside",40.74384,-73.92114,"Private room",50,30,2,2018-08-12,0.06,1,365
"37",7733315,"sunny and spacious respite",3010260,"Genevieve & Brett","Brooklyn","Crown Heights",40.66879,-73.95136,"Entire home/apt",225,30,4,2018-08-12,0.06,1,0
"38",11210604,"The Study - UWS Bedroom In Luxury Building",58388047,"Jay","Manhattan","Upper West Side",40.79646,-73.97138,"Private room",80,21,11,2018-08-12,0.18,1,177
"39",16557829,"Upper Manhattan for Female, month-long preferred",109033183,"Lucy","Manhattan","Inwood",40.86817,-73.92407,"Private room",35,30,6,2018-08-12,0.12,1,0
"40",17857431,"Triple Mint Architect-Designed Brooklyn Townhouse",2065971,"Elana","Brooklyn","Crown Heights",40.67911,-73.96192,"Entire home/apt",300,5,3,2018-08-12,0.06,1,27
"41",23647298,"Cozy Upper East Side Studio Apartment",142765455,"Genna","Manhattan","Upper East Side",40.7842,-73.94968,"Entire home/apt",110,30,2,2018-08-12,0.06,1,0
"42",25719757,"Huge, spacious, chic Gramercy 1 bedroom",1741498,"Eve","Manhattan","Gramercy",40.73708,-73.98481,"Entire home/apt",185,30,3,2018-08-12,0.09,1,0
"43",3793542,"Vintage Williamsburg huge 1BR Loft near park/train",700913,"Gage","Brooklyn","Williamsburg",40.71675,-73.95362,"Entire home/apt",147,30,12,2018-08-13,0.15,1,0
"44",4225745,"Cute Studio in Trendy Neighborhood",21930475,"Whitney","Brooklyn","Clinton Hill",40.68246,-73.96511,"Entire home/apt",73,30,7,2018-08-13,0.09,1,0
"45",4439664,"Luminous Apt. Historic Area",12641307,"Xihuitl Juliette","Brooklyn","Fort Greene",40.6884,-73.97332,"Entire home/apt",81,30,8,2018-08-13,0.12,1,29
"46",21945556,"Cozy Room in Bushwick.",62307584,"Kade","Brooklyn","Bushwick",40.68394,-73.90685,"Private room",71,30,3,2018-08-13,0.08,1,179
"47",22305350,"Bright, clean, private room in good neighborhood",335016,"Theresa","Brooklyn","Bushwick",40.70246,-73.92478,"Private room",29,30,7,2018-08-13,0.18,1,0
"48",22713055,"Cozy Private room in Hamilton Heights",54740781,"Melissa","Manhattan","Harlem",40.82808,-73.94717,"Private room",28,30,2,2018-08-13,0.06,1,0
"49",26397444,"Sunny, CENTRAL Williamsburg Room with Rooftop",20237617,"Samantha","Brooklyn","Williamsburg",40.71476,-73.95986,"Private room",51,30,4,2018-08-13,0.12,1,0
"50",27301758,"Beautiful Woodhaven Home",205684793,"Edina","Queens","Woodhaven",40.69097,-73.84858,"Entire home/apt",135,30,1,2018-08-13,0.03,2,0
"51",2126576,"2BR XL Loft: Cleaning CDC guidelines implemented",7503643,"Vida","Brooklyn","Greenpoint",40.72763,-73.94016,"Entire home/apt",199,30,4,2018-08-14,0.05,52,288
"52",2687083,"Cozy 1Bdr in Bed Stuy/Clinton Hill",5283121,"Sarah","Brooklyn","Bedford-Stuyvesant",40.68626,-73.95123,"Entire home/apt",130,30,1,2018-08-14,0.03,1,0
"53",4845237,"East Village Beauty",12485770,"Raanan","Manhattan","Stuyvesant Town",40.73018,-73.97963,"Entire home/apt",110,30,8,2018-08-14,0.12,10,365
"54",6403795,"Twin Loft Nook in Brooklyn",21090508,"Jarad","Brooklyn","Bushwick",40.69898,-73.93605,"Shared room",34,30,27,2018-08-14,0.38,2,0
"55",24727745,"Quiet and Friendly",129585378,"Victoria","Manhattan","Murray Hill",40.7486,-73.97238,"Private room",99,30,3,2018-08-14,0.09,1,0
"56",27506443,"Modern loft in the best part of Bushwick.",52190465,"Sobe","Brooklyn","Bushwick",40.70474,-73.91575,"Entire home/apt",100,30,1,2018-08-14,0.03,1,0
"57",4794512,"1BR w/CV: Cleaning CDC guidelines implemented.",7503643,"Vida","Brooklyn","Greenpoint",40.72722,-73.94189,"Entire home/apt",119,30,2,2018-08-15,0.04,52,0
"58",26607493,"LES - Lower East Side",73269245,"Borna","Manhattan","Chinatown",40.71408,-73.99203,"Private room",55,30,1,2018-08-15,0.03,1,0
"59",26670812,"Lucky home 温馨如家",88576580,"Anna","Queens","Flushing",40.75484,-73.82081,"Private room",60,30,1,2018-08-15,0.03,2,0
"60",26679556,"Very Sunny Apt on UWS",4231845,"Yann","Manhattan","Morningside Heights",40.8051,-73.96428,"Entire home/apt",95,30,2,2018-08-15,0.06,1,0
"61",27161388,"Brooklyn Town House",2381030,"Terry","Brooklyn","Fort Greene",40.68702,-73.97132,"Entire home/apt",1200,30,1,2018-08-15,0.03,1,0
"62",27506095,"Room in Bedstuy! Exposed brick, subways are close",38635971,"Eitan","Brooklyn","Bedford-Stuyvesant",40.68247,-73.92757,"Private room",60,30,4,2018-08-15,0.12,1,0
"63",454763,"For Cat-Lovers ONLY",2259061,"Felo","Manhattan","Inwood",40.86667,-73.91813,"Entire home/apt",79,30,11,2018-08-16,0.14,1,0
"64",628078,"NYC Whole Apt.  Dec 26th- Feb 3rd",3119145,"Dennis","Manhattan","Harlem",40.80272,-73.95618,"Entire home/apt",105,30,6,2018-08-16,0.06,1,0
"65",11282208,"Sunny ""green"" brownstone duplex with deck & garden",1779599,"Bettina","Brooklyn","Bedford-Stuyvesant",40.68682,-73.92927,"Entire home/apt",195,10,5,2018-08-16,0.09,1,0
"66",22237320,"Modern Room in Coliving/15min walk to Williamsburg",159811367,"Sergii","Brooklyn","Bedford-Stuyvesant",40.69609,-73.93916,"Shared room",37,30,4,2018-08-16,0.1,14,189
"67",26892245,"Cozy Brooklyn Room",3552356,"Griffin","Brooklyn","Bushwick",40.70142,-73.91841,"Private room",35,30,2,2018-08-16,0.06,1,0
"68",3912900,"Luxury Condo with Manhattan views",17576947,"Rita","Queens","Astoria",40.76826,-73.9283,"Private room",95,14,3,2018-08-17,0.04,1,334
"69",9804243,"Beautiful large bedroom in Brooklyn",2330750,"Thomas","Brooklyn","Bedford-Stuyvesant",40.69019,-73.94914,"Private room",45,30,4,2018-08-17,0.08,1,0
"70",11138910,"HUGE apartment in GREAT location!!!",827235,"Adam","Brooklyn","Bedford-Stuyvesant",40.68397,-73.95896,"Entire home/apt",109,30,3,2018-08-17,0.05,1,0
"71",12670883,"Entire private # in a privately own  brownstone",60981198,"Cyrille","Brooklyn","Bedford-Stuyvesant",40.68957,-73.93515,"Private room",115,10,2,2018-08-17,0.05,3,0
"72",16608718,"Largest room, warehouse loft, prime Williamsburg",17371775,"Octavio","Brooklyn","Williamsburg",40.71828,-73.96253,"Private room",41,30,3,2018-08-17,0.06,1,0
"73",24331124,"Simple Room Next to Subway!",26877931,"Nikki","Brooklyn","Bedford-Stuyvesant",40.69401,-73.95032,"Private room",44,15,1,2018-08-17,0.03,2,149
"74",24431205,"A cozy private room, close to Columbia!",20267412,"Minami","Manhattan","Morningside Heights",40.80648,-73.95818,"Private room",42,30,2,2018-08-17,0.06,1,0
"75",25939748,"Modern Apt with private bedroom & bathroom",25210511,"Zak","Brooklyn","Clinton Hill",40.69637,-73.96601,"Private room",106,30,16,2018-08-17,0.47,1,0
"76",1981669,"1 Bedroom Apartment Lefferts Garden",10226006,"Ester","Brooklyn","Prospect-Lefferts Gardens",40.66208,-73.94935,"Entire home/apt",90,30,19,2018-08-18,0.21,1,358
"77",2416104,"Private home, quiet Brooklyn street",12348871,"Hetty","Brooklyn","Kensington",40.64738,-73.97749,"Entire home/apt",200,2,13,2018-08-18,0.16,2,0
"78",2606370,"Beautiful Brownstone near Central Park",13347139,"Nicole","Manhattan","Harlem",40.79941,-73.95497,"Entire home/apt",450,30,6,2018-08-18,0.1,1,0
"79",3208188,"3BR Carroll Gardens townhouse loft",16254543,"Jennifer","Brooklyn","Carroll Gardens",40.68005,-73.99611,"Entire home/apt",360,30,8,2018-08-18,0.1,1,0
"80",7788880,"Home 4 Medical Professionals- The ""Camphor""",26377263,"Stat","Brooklyn","Bushwick",40.70358,-73.91749,"Private room",47,30,4,2018-08-18,0.08,45,1
"81",7789346,"Home 4 Medical Professionals - The ""Noxious""",26377263,"Stat","Brooklyn","Bushwick",40.70494,-73.91952,"Private room",47,30,3,2018-08-18,0.05,45,365
"82",18264659,"A Cozy Harlem Stay",63417081,"Devon","Manhattan","Harlem",40.82215,-73.94576,"Private room",30,30,3,2018-08-18,0.07,8,337
"83",18689588,"Sunny Brooklyn Studio: 25 min to central Manhattan",127767,"Cara","Brooklyn","Bedford-Stuyvesant",40.69187,-73.95467,"Entire home/apt",109,4,6,2018-08-18,0.13,1,0
"84",22001385,"Comfortable room in FIDI",4455698,"Pierre","Manhattan","Financial District",40.70774,-73.99969,"Private room",60,30,2,2018-08-18,0.05,2,364
"85",27053726,"Windsor Terrace Garden Apartment",33526253,"Nicki","Brooklyn","Windsor Terrace",40.65678,-73.98103,"Entire home/apt",150,30,2,2018-08-18,0.06,1,0
"86",1016105,"BK - Spacious & Sunny 4 bedroom apartment",5591685,"Paul","Brooklyn","Clinton Hill",40.68957,-73.96831,"Entire home/apt",200,30,10,2018-08-19,0.12,1,0
"87",1322917,"POP-UP-TOWN / Loft Like Studio LEX",7179629,"Artie","Manhattan","Upper East Side",40.78019,-73.95318,"Entire home/apt",155,30,130,2018-08-19,1.39,1,103
"88",3628190,"Sunny Private Apt in Ditmas Park",14905237,"Tina","Brooklyn","Flatbush",40.64548,-73.95918,"Entire home/apt",120,30,12,2018-08-19,0.16,1,0
"89",7694064,"Quiet Sanctuary right by the Subway",24666317,"Keenan","Brooklyn","Clinton Hill",40.68502,-73.96788,"Private room",67,2,12,2018-08-19,0.17,1,0
"90",12410412,"Victorian Flatbush Family Friendly",6662358,"Elizabeth","Brooklyn","Flatbush",40.6497,-73.96688,"Entire home/apt",290,5,4,2018-08-19,0.07,1,0
"91",20857788,"Two bedroom Beauty in midtown Manhattan",120762452,"Stanley","Manhattan","Murray Hill",40.75009,-73.97711,"Entire home/apt",234,30,1,2018-08-19,0.03,83,364
"92",21899473,"Minimalist Union Square Studio Apartment",60632753,"Jared","Manhattan","Greenwich Village",40.73566,-73.99536,"Private room",49,30,4,2018-08-19,0.1,1,0
"93",21951077,"*Spacious West Village Loft*",1620498,"Bec","Manhattan","Chelsea",40.73704,-73.99587,"Entire home/apt",150,60,3,2018-08-19,0.07,1,0
"94",22423342,"Big room in luxury building-10mins to Manhattan",85678544,"Charles","Queens","Long Island City",40.74985,-73.94195,"Private room",60,30,4,2018-08-19,0.1,1,0
"95",23826739,"Lovely  Room!",34404232,"Holly","Queens","Astoria",40.76141,-73.92235,"Private room",64,1,24,2018-08-19,0.64,1,0
"96",25075529,"Comfy cozy studio in LES",164668733,"Amalia","Manhattan","East Village",40.72347,-73.98453,"Entire home/apt",90,30,3,2018-08-19,0.09,1,0
"97",26344667,"Private room in Apartment",129168532,"Likowsky","Manhattan","Harlem",40.8205,-73.95645,"Private room",41,30,5,2018-08-19,0.15,1,0
"98",26645876,"Lucky Home 像纽约有个温馨的家 安静整洁 Sunshine lovely Comfort",88576580,"Anna","Queens","Flushing",40.75446,-73.82234,"Private room",60,30,3,2018-08-19,0.09,2,0
"99",27131400,"Upper West Side Manhattan spacious apartment",4314926,"Leah","Manhattan","Upper West Side",40.79125,-73.97329,"Entire home/apt",1000,30,1,2018-08-19,0.03,2,27
"100",1947400,"1BD Cozy Chelsea Apartment",10071397,"Trevor","Manhattan","Chelsea",40.74195,-73.99601,"Entire home/apt",214,30,4,2018-08-20,0.05,1,365
"101",3199681,"Bright & Sunny FULLY FURNISHED Room",627678,"Nathan","Queens","Forest Hills",40.73402,-73.85468,"Private room",35,30,2,2018-08-20,0.06,2,364
"102",3818279,"Reno1BR~RiverView~Luxury24D~Roof~",2119276,"Eran","Manhattan","Kips Bay",40.74249,-73.97304,"Entire home/apt",200,30,7,2018-08-20,0.1,29,312
"103",4718031,"Cool artist apartment in Williamsburg/Bushwick",9633085,"Henrique","Brooklyn","Williamsburg",40.70843,-73.94048,"Entire home/apt",132,30,7,2018-08-20,0.11,1,0
"104",18716289,"Beautiful, Spacious, Luxury Fort Greene Apartment",16575725,"New","Brooklyn","Downtown Brooklyn",40.69432,-73.98273,"Entire home/apt",125,30,7,2018-08-20,0.15,1,0
"105",26837124,"Williamsburg Apartment",8325079,"Leila","Brooklyn","Williamsburg",40.71476,-73.94612,"Entire home/apt",115,30,1,2018-08-20,0.03,1,0
"106",27504048,"Quiet & Cheap, 15 minutes to Manhattan",63199008,"Sophia Yi","Queens","Woodside",40.74418,-73.89154,"Private room",39,30,1,2018-08-20,0.03,1,0
"107",27699052,"Cozy Brooklyn Room with private bathroom",8855004,"Peach","Brooklyn","Bedford-Stuyvesant",40.68853,-73.95212,"Private room",60,30,1,2018-08-20,0.03,1,0
"108",1932110,"Manhattan/ LES Short term Stay",10001551,"Herman  F","Manhattan","Lower East Side",40.72241,-73.99119,"Private room",175,30,20,2018-08-21,0.24,1,83
"109",5248975,"Large Penthouse in Williamsburg",9423379,"Francois","Brooklyn","Williamsburg",40.71527,-73.95001,"Entire home/apt",250,30,10,2018-08-21,0.14,1,0
"110",11959165,"Charming 1 BR apartment east of Central Park",13209857,"Tania","Manhattan","East Harlem",40.78878,-73.94606,"Entire home/apt",125,30,11,2018-08-21,0.18,1,0
"111",18229365,"Beautiful apartment ~25min from Times Square",6358504,"Yaroslav","Bronx","Mount Hope",40.84562,-73.91224,"Entire home/apt",75,30,3,2018-08-21,0.07,1,0
"112",18459948,"Cozy East Village Studio",127998381,"Mia","Manhattan","East Village",40.72761,-73.98404,"Entire home/apt",170,30,9,2018-08-21,0.19,1,0
"113",23109351,"HOTEL 31 INC (QUAD)",171697479,"Aamer","Manhattan","Midtown",40.74557,-73.98239,"Private room",220,30,5,2018-08-21,0.13,2,365
"114",26229979,"New York Home with a back yard in Central Harlem.",150482926,"Yann","Manhattan","Harlem",40.81087,-73.94673,"Entire home/apt",295,30,3,2018-08-21,0.09,1,0
"115",27623360,"Studio at Upper East Side Manhattan, New York",95642648,"Тest","Manhattan","Upper East Side",40.77713,-73.95348,"Entire home/apt",101,30,3,2018-08-21,0.09,1,0
"116",1415738,"Private bedroom and bathroom in Brooklyn",7628445,"Rosa","Brooklyn","Park Slope",40.67197,-73.97536,"Private room",160,30,25,2018-08-22,0.27,1,363
"117",4221999,"Spacious & Bright: 1 BR Midtown!",20335235,"Stephen","Manhattan","Midtown",40.75593,-73.96751,"Entire home/apt",225,30,10,2018-08-22,0.13,1,0
"118",18123155,"Fully Fancy Furnish Apartment in Manhattan.",124886133,"Tom","Manhattan","Upper East Side",40.76796,-73.95287,"Entire home/apt",120,14,2,2018-08-22,0.04,1,82
"119",18751261,"Park, Subway & All Conveniences",130452689,"Nicole","Brooklyn","Greenpoint",40.72398,-73.95146,"Entire home/apt",185,30,2,2018-08-22,0.05,1,128
"120",18949917,"Workspace Room 2",9864136,"Anthony","Brooklyn","Bushwick",40.68626,-73.91576,"Private room",37,30,8,2018-08-22,0.19,23,365
"121",19056212,"Duplex home in Historic Cobble Hill",35078736,"","Brooklyn","Cobble Hill",40.68586,-73.99555,"Entire home/apt",424,30,1,2018-08-22,0.03,1,0
"122",22205619,"Luxury Riverview Williamsburg Apartment",2178877,"Hazel","Brooklyn","Williamsburg",40.71842,-73.96506,"Private room",80,30,3,2018-08-22,0.08,1,0
"123",22365504,"Shared beautiful room at Bed-Stuy near subway",163259257,"Outpost","Brooklyn","Bedford-Stuyvesant",40.69446,-73.93778,"Shared room",35,30,2,2018-08-22,0.06,1,365
"124",24227739,"NYC experience",43463232,"Carlos","Brooklyn","Bushwick",40.69153,-73.91809,"Private room",100,30,7,2018-08-22,0.2,2,364
"125",25912647,"Midtown East - Huge private room with terrace",193716904,"Li","Manhattan","Midtown",40.75545,-73.96402,"Private room",140,30,4,2018-08-22,0.12,1,0
"126",22796888,"room 2 Manhattan private room",164886138,"Eliahu","Manhattan","Harlem",40.81263,-73.95172,"Private room",55,1,4,2018-08-23,0.11,10,365
"127",26566099,"Bedstuy Cove",199740814,"Luqman","Brooklyn","Bedford-Stuyvesant",40.6809,-73.92125,"Private room",245,50,7,2018-08-23,0.21,1,0
"128",27029402,"Central Park Spacious Room",194843581,"Hongzhi","Manhattan","Upper West Side",40.80108,-73.96154,"Private room",87,30,14,2018-08-23,0.42,3,0
"129",27394538,"Modern, Bright, Large One Bedroom Apartment",59315954,"Silvia","Brooklyn","Carroll Gardens",40.6774,-74.00101,"Entire home/apt",125,30,1,2018-08-23,0.03,1,0
"130",2135754,"CONVENIENT Greenwich Village 2 BED!",7793849,"Dain","Manhattan","Greenwich Village",40.73,-73.99781,"Entire home/apt",210,30,25,2018-08-24,0.31,1,0
"131",4606614,"Uptown Convenience & Comfort",23870076,"Sam","Manhattan","Morningside Heights",40.80589,-73.96375,"Entire home/apt",150,30,10,2018-08-24,0.21,1,0
"132",13314206,"Beautiful Spacious  Apt. in Washington Heights!",2383846,"Lisa","Manhattan","Washington Heights",40.8373,-73.94506,"Entire home/apt",110,30,5,2018-08-24,0.09,1,0
"133",15085230,"Bright 1 Bedroom Apt Near Attractions and Transit",5437444,"Panthea","Bronx","Bronxdale",40.85526,-73.86549,"Entire home/apt",84,30,24,2018-08-24,0.44,1,0
"134",19049579,"Spacious and Sunny 1+ Bedroom",7980049,"Colin","Manhattan","Upper West Side",40.79326,-73.96827,"Entire home/apt",145,30,8,2018-08-24,0.17,1,0
"135",20173894,"Lovely apartment in Brooklyn.",87988,"Samantha","Brooklyn","Carroll Gardens",40.68362,-73.99381,"Entire home/apt",125,30,2,2018-08-24,0.05,1,0
"136",27196488,"2 br furnished apartment sublet for August. Prime Sunnyside location, close to restaurants, stores and subway 7train 40 street stop",204774833,"Tatiana","Queens","Sunnyside",40.74403,-73.92297,"Entire home/apt",200,1,1,2018-08-24,0.03,1,0
"137",3089577,"Spacious 2 bd 2 bth apt 45 min from Time Sq sleep6",15636404,"Anneta","Brooklyn","Borough Park",40.60971,-73.97405,"Entire home/apt",205,30,4,2018-08-25,0.07,1,248
"138",3710230,"Stunning renovated greystone",18929364,"Abigail","Brooklyn","Prospect-Lefferts Gardens",40.66311,-73.95354,"Entire home/apt",199,30,18,2018-08-25,0.22,1,0
"139",11157167,"Cozy Chinatown studio apartment",17259339,"Maia","Manhattan","Chinatown",40.71303,-73.99641,"Entire home/apt",100,30,26,2018-08-25,0.5,1,0
"140",12492795,"Beautiful & Sunny UES Room (steps from Subway!) :)",67639957,"Gina","Manhattan","East Harlem",40.78534,-73.94312,"Private room",65,30,18,2018-08-25,0.32,1,89
"141",17496511,"Spacious & Charming Nolita 1 Bed",118547015,"Jill","Manhattan","SoHo",40.72081,-73.99911,"Entire home/apt",175,30,16,2018-08-25,0.32,1,0
"142",19073760,"Private Bedroom in Ditmas",91718195,"Kourosh","Brooklyn","Kensington",40.63236,-73.97549,"Private room",27,30,3,2018-08-25,0.06,1,0
"143",19209710,"Sunny, 2BR apartment in the heart of Bushwick",19785181,"Robert & Bianca","Brooklyn","Bushwick",40.70328,-73.92682,"Entire home/apt",93,30,10,2018-08-25,0.22,1,0
"144",25367421,"East Village Skylight Loft",22443613,"M.J.B.","Manhattan","East Village",40.72475,-73.98246,"Entire home/apt",650,30,1,2018-08-25,0.03,1,365
"145",27659585,"Spacious and Modern 1 bed apt. In luxury bldg",45336046,"Edwin","Manhattan","Harlem",40.81633,-73.94733,"Entire home/apt",87,30,1,2018-08-25,0.03,1,24
"146",2599963,"Amazing Penthouse Studio (Midtown East)",13314076,"Abraham","Manhattan","Midtown",40.75384,-73.96722,"Entire home/apt",99,10,15,2018-08-26,0.18,1,0
"147",5661603,"2 bedroom home in Brooklyn",27755788,"Gian-Murray","Brooklyn","Park Slope",40.67762,-73.97537,"Entire home/apt",145,30,1,2018-08-26,0.03,1,267
"148",5915351,"**Amazing apartment!**",30719563,"David","Brooklyn","Bedford-Stuyvesant",40.68056,-73.95146,"Entire home/apt",107,7,12,2018-08-26,0.18,1,0
"149",12226927,"Quiet, cozy and family friendly",38969372,"Miki","Brooklyn","Kensington",40.64444,-73.97846,"Entire home/apt",105,30,7,2018-08-26,0.12,1,0
"150",12834648,"Wonderful Bright Eastside Manhattan",70060476,"Nathalia","Manhattan","Upper East Side",40.77338,-73.9465,"Entire home/apt",129,30,5,2018-08-26,0.09,3,316
"151",13398837,"Master Bedroom next to cute park on the LES",22166692,"Kevin","Manhattan","Lower East Side",40.72172,-73.99203,"Private room",63,30,27,2018-08-26,0.46,1,0
"152",15421279,"comfortable private room in Hamilton Heights",21600813,"Sajad","Manhattan","Harlem",40.82974,-73.95007,"Private room",40,30,28,2018-08-26,0.52,1,0
"153",19475058,"Spacious Chinatown Loft",12038925,"Keir","Manhattan","Chinatown",40.71434,-73.99172,"Entire home/apt",225,30,15,2018-08-26,0.33,1,0
"154",19871726,"Prime Wburg, spacious and sunny",22549130,"Zaid","Brooklyn","Williamsburg",40.71411,-73.94492,"Entire home/apt",116,3,6,2018-08-26,0.13,1,0
"155",20045444,"A Lovely getaway apt in upper Manhattan!!",24559370,"Gabrielle","Manhattan","Washington Heights",40.85697,-73.93668,"Entire home/apt",90,3,11,2018-08-26,0.24,2,0
"156",21771454,"Newly renovated bedroom apartment - 2 beds",23596542,"Javier","Brooklyn","Crown Heights",40.67628,-73.93727,"Entire home/apt",93,30,2,2018-08-26,0.05,1,0
